Movie,inspiring,sad,hopeful,character_growth,uplifting,informative
Full Metal Jacket,0,0,0,0,0,1
Annie Hall,0,0,0,0,1,0
Manhattan,0,0,0,0,1,0
Women on the verge of a nervous breakdown,0,0,0,0,1,0
The nanny diaries,0,0,0,1,1,0
Before Sunrise,0,0,0,1,0,0
A beautiful mind,0,0,0,0,0,1
Amelie,0,0,0,0,1,0
Home alone,0,0,0,0,1,0
Dr. Strangelove,0,0,0,0,0,1
The Act of Killing,0,0,0,0,0,1
City of God,0,0,0,0,0,1
Hidden Figures,0,0,0,0,0,1
1917,0,0,0,0,0,1
Apollo 13,0,0,0,0,0,1
Grease,0,0,0,0,1,0
Oppenheimer,0,0,0,0,0,1
This is not a film,0,0,0,0,0,1
The Lion King,0,0,0,1,0,0
Mamma Mia,0,0,0,0,1,0
Zero Dark Thirty,0,0,0,0,0,1
Licorice Pizza,0,0,0,0,1,0
Django unchained,0,0,0,1,0,0
He named me Malala,0,0,0,0,0,1
Dunkirk,0,0,0,0,0,1
The Hunger Games: Catching Fire,1,0,0,0,0,0
The Hunger Games: Mockingjay Part 1,1,0,0,0,0,0
The Hunger Games: Mockingjay Part 2,1,0,0,0,0,0
The Godfather Part II,0,1,0,0,0,0
A Life on our Planet,0,0,0,0,0,1
Big Hero 6,1,1,1,1,1,0
CODA,1,0,1,1,1,0
Moana,1,0,0,1,1,0
Slumdog Millionaire,1,1,1,0,0,0
Soul,1,0,1,1,0,0
The Greatest Showman,0,0,1,1,1,0
The Hate U Give,1,1,1,1,0,0
Raya and the Last Dragon,1,0,1,1,0,0
The Notebook,0,1,1,1,0,0
Close,0,1,0,1,0,0
Into the Wild,0,1,0,1,0,0
The Boy who Harnessed the Wind,0,0,1,1,0,0
Virunga,1,0,0,0,0,1
Space man,0,0,0,1,0,0
Honeyland,0,1,0,0,0,1
BPM,0,1,0,1,0,0
Senna,0,1,0,0,0,1
Zero days,0,0,0,0,0,1
This is not a film.,0,0,0,0,0,1
The lord of the rings,1,0,1,1,0,0
